Name,Spect Name,Spect Type,Teff,log g,Fe/H,class
HD113092 ,s0457,K2 III,4283,1.95,-0.37,K
HD113285 ,s0459,M8 III,2924,0,0,M
HD114038 ,s0460,K1III,4518,2.22,0,K
HD114330 ,s0461,A1V,9509,3.8,-0.01,A
HD114606 ,s0462,G1V,5523,4.12,-0.69,G
HD114642 ,s0464,F6V,6249,3.9,-0.18,F
HD114710 ,s0463,F9.5V,5975,4.4,0.09,F
HD114946 ,s0465,G6 V,5171,3.64,0.13,G
HD115383 ,s0466,G0Vs,5921,4.04,0.13,G
HD115589 ,s0467,G8IV,5400,4.54,0.4,G
HD115617 ,s0468,G5V,5531,4.32,-0.01,G
HD115659 ,s0469,G8III,5087,3.02,-0.06,G
HD116114 ,s0470,Ap,8020,4.18,0.48,A
HD116316 ,s0471,F5V,6428,4.18,-0.64,F
HD116544 ,s0472,K5,4400,4.5,-0.2,K
